ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
250,2.0,1.0,1.5,35,5.5481870853042885,0.5526739286318346,-5.325311273878275,55.769230769230774,52,2.37539673839804
250,2.0,1.0,1.0,45,5.461884422907169,0.5449176054180462,-5.325311273878275,63.46153846153846,52,2.572265533887481
250,2.0,1.0,1.0,25,5.461884422907169,0.5449176054180462,-5.325311273878275,63.46153846153846,52,2.572265533887481
250,2.0,1.0,1.0,35,5.461884422907169,0.5449176054180462,-5.325311273878275,63.46153846153846,52,2.572265533887481
150,2.5,1.5,0.5,45,5.2098588377043775,0.3797034580838298,-7.611562664685801,68.0,50,2.27836075298294
250,2.5,1.5,0.5,35,5.162677093640487,0.37578254240560105,-5.5581173994620485,69.38775510204081,49,2.589519182260296
250,2.0,1.0,0.5,25,5.106888604371197,0.5144654647735221,-5.342137923876333,67.27272727272727,55,2.477511512618627
250,2.0,1.0,0.5,35,5.106888604371197,0.5144654647735221,-5.342137923876333,67.27272727272727,55,2.477511512618627
250,2.0,1.0,0.5,45,5.106888604371197,0.5144654647735221,-5.342137923876333,67.27272727272727,55,2.477511512618627
200,1.5,1.5,1.0,35,5.035746601307474,0.29450872009878554,-12.126498998476132,55.172413793103445,58,2.127702312246502
200,2.0,1.0,1.5,25,4.955848271995602,0.49541035803456834,-5.297823178334182,52.83018867924528,53,1.9380488133781815
200,2.0,1.0,1.5,45,4.955848271995602,0.49541035803456834,-5.297823178334182,52.83018867924528,53,1.9380488133781815
200,2.0,1.0,1.5,35,4.955848271995602,0.49541035803456834,-5.297823178334182,52.83018867924528,53,1.9380488133781815
200,2.0,1.0,1.0,25,4.869545609598481,0.48754550675148767,-5.297823178334182,60.37735849056604,53,2.0474438936696164
200,2.0,1.0,1.0,35,4.869545609598481,0.48754550675148767,-5.297823178334182,60.37735849056604,53,2.0474438936696164
200,2.0,1.0,1.0,45,4.869545609598481,0.48754550675148767,-5.297823178334182,60.37735849056604,53,2.0474438936696164
100,2.5,2.0,0.5,25,4.631505275466898,0.24416729027232917,-12.076372338099816,65.0,60,1.6034599134492244
200,1.5,1.5,1.0,25,4.548639137775972,0.2642780323765797,-12.176698187373326,55.172413793103445,58,2.127702312246502
200,2.0,1.0,0.5,25,4.5145497910625085,0.4564186294695744,-5.314610449864842,64.28571428571429,56,1.9268058273547382
200,2.0,1.0,0.5,35,4.5145497910625085,0.4564186294695744,-5.314610449864842,64.28571428571429,56,1.9268058273547382
200,2.0,1.0,0.5,45,4.5145497910625085,0.4564186294695744,-5.314610449864842,64.28571428571429,56,1.9268058273547382
100,2.0,2.0,1.5,35,4.3538721994519625,0.19592590736542953,-16.06739945601593,56.00000000000001,50,1.6498676670248187
100,2.0,2.0,1.5,45,4.3273563106885735,0.19576495497914306,-15.881380624711127,56.00000000000001,50,1.6498676670248187
200,2.5,1.5,0.5,45,4.25358967875025,0.3032122357502773,-7.611562664685801,68.0,50,2.433566139995904
100,2.0,2.0,1.5,25,4.196733002110068,0.18759197153625137,-16.20600365992546,56.00000000000001,50,1.6498676670248187
